ID,Loại,SKU,"GTIN, UPC, EAN hoặc ISBN",Tên,"Đã xuất bản","Là sản phẩm nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giá khuyến mãi","Ngày kết thúc giá khuyến mãi","Trạng thái thuế","Lớp thuế","Còn hàng?","Tồn kho","Số lượng sắp hết hàng","Cho phép đặt hàng trước?","Bán riêng lẻ?","Cân nặng (kg)","Chiều dài (cm)","Chiều rộng (cm)","Chiều cao (cm)","Cho phép khách hàng đánh giá?","Ghi chú mua hàng","Giá khuyến mãi","Giá thông thường","Danh mục",Thẻ,"Lớp vận chuyển","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải xuống",Cha,"Sản phẩm theo nhóm","Bán thêm","Bán chéo","URL bên ngoài","Văn bản nút","Vị trí","Thương hiệu","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính chung 1","Tên thuộc tính 2","Giá trị thuộc tính 2","Thuộc tính hiển thị 2","Thuộc tính chung 2","Tên thuộc tính 3","Giá trị thuộc tính 3","Thuộc tính hiển thị 3","Thuộc tính chung 3","Tên thuộc tính 4","Giá trị thuộc tính 4","Thuộc tính hiển thị 4","Thuộc tính chung 4","Tên thuộc tính 5","Giá trị thuộc tính 5","Thuộc tính hiển thị 5","Thuộc tính chung 5","Tên thuộc tính 6","Giá trị thuộc tính 6","Thuộc tính hiển thị 6","Thuộc tính chung 6","Tên thuộc tính 7","Giá trị thuộc tính 7","Thuộc tính hiển thị 7","Thuộc tính chung 7","Tên thuộc tính 8","Giá trị thuộc tính 8","Thuộc tính hiển thị 8","Thuộc tính chung 8","Tên thuộc tính 9","Giá trị thuộc tính 9","Thuộc tính hiển thị 9","Thuộc tính chung 9"
174,variable,,,"Apple iPhone 15",1,0,visible,"iPhone 15 sở hữu Dynamic Island, camera Chính 48MP và USB-C trong thiết kế bằng kính pha màu và nhôm bền bỉ.","<h3><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Tính năng nổi bật</span></h3>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Thời lượng pin khác nhau tùy theo cách sử dụng và cấu hình; truy cập để biết thêm thông tin.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">iPhone 15 và iPhone 15 Pro có thể phát hiện va chạm ô tô nghiêm trọng và gọi trợ giúp. Yêu cầu kết nối mạng di động hoặc Cuộc Gọi Wi-Fi.</span></li>
\n</ul>",,,taxable,,1,,,0,0,171,147.6,71.6,7.8,1,,,,"Điện thoại",,,"http://localhost/ekart/wp-content/uploads/2025/09/ikgp7aqs2r4.jpg, http://localhost/ekart/wp-content/uploads/2025/09/ndhiw9pkvb8.jpg, http://localhost/ekart/wp-content/uploads/2025/09/ikgp7aqs2r4.jpg, http://localhost/ekart/wp-content/uploads/2025/09/whth9ua2qce.jpg",,,,,,,,,0,Apple,Màu,"Đen, Hồng",1,0,"Dung lượng","128GB, 256GB",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,variable,,,"Điện thoại Samsung Galaxy S25 - Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng",1,0,visible,"<p class=""sc-c0f8c612-0 dEurho""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, Chip Snapdragon - Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng</span></p>","Galaxy S25 - Cánh tay đắc lực AI
\n- Now Brief: Đưa ra các đề xuất được cá nhân hoá dựa trên phân tích thông minh về lịch trình riêng, sở thích và mục tiêu cá nhân.
\n- Seamless Actions across Apps: Ra câu lệnh bằng lời nói để xử lý tác vụ liên ứng dụng
\n- Video camera đêm: Hệ thống khử nhiễu thông minh, giúp video thật sắc nét, chấp mọi điều kiện ánh sáng
\n- Vi xử lý thế hệ mới: Thế hệ Galaxy S với hiệu năng mạnh mẽ nhất cùng vi xử lý 3nm, lần đầu tiên có trên Galaxy - Snapdragon 8 Elite for Galaxy
\n- Hệ điều hành: Android 15, One UI 7
\n- Dung lượng RAM: 12GB
\n- Dung lượng bộ nhớ: 256GB, 512GB
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,"Điện thoại",,,"http://localhost/ekart/wp-content/uploads/2025/09/uas4b708f-m.jpg, http://localhost/ekart/wp-content/uploads/2025/09/uas4b708f-m.jpg, http://localhost/ekart/wp-content/uploads/2025/09/lbyfmhhtiui.jpg",,,,,,,,,0,Samsung,Màu,"Xanh Icy, Xanh Navy",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,variable,,,"Điện thoại Xiaomi 12S Ultra",1,0,visible,,"<h3 class=""article-blurb-title blurb-title-findings""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Sơ lược về thông số kỹ thuật của Xiaomi 12S Ultra:</span></h3>
\n<ul class=""article-blurb article-blurb-findings"">
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Thân máy:</b> 163,2×75,0x9,1mm, 225g; Mặt trước bằng kính (Gorilla Glass Victus), mặt sau bằng da sinh thái, khung nhôm; Chống bụi/nước IP68 (lên tới 1,5m trong 30 phút).</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Màn hình:</b> 6,73″ LTPO2 AMOLED, 1B màu, 120Hz, Dolby Vision, HDR10+, 1000 nits (HBM), 1500 nits (cực đại), độ phân giải 1440x3200px, tỷ lệ khung hình 20: 9, 522ppi.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Chipset:</b> Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm): Octa-core (1×3,19 GHz Cortex-X2 &amp; 3×2,75 GHz Cortex-A710 &amp; 4×1,80 GHz Cortex-A510); Adreno 730.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Bộ nhớ:</b> RAM 256GB 8GB, RAM 256GB 12GB, RAM 512GB 12GB; UFS 3.1.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Hệ điều hành/Phần mềm:</b> Android 12, MIUI 13.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Camera sau: </b><u>Rộng (chính)</u> : 50.3 MP, f/1.9, 23mm, 1.0″, 1.6µm, PDAF đa hướng, Laser AF, OIS; <u>Góc siêu rộng</u> : 48 MP, f/2.2, 13mm, 1/2.0″ , 0,8µm, PDAF pixel kép; <u>Ống kính tele</u> : 48 MP, f/4.1, 120mm, 1/2.0″, 0.8µm, PDAF, OIS, zoom quang 5x; <u>Độ sâu</u> : TOF 3D.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Camera trước:</b> 32 MP, f/2.4, 25 mm (rộng), 0,7µm.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Quay video: </b><u>Camera sau</u> : 8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@3840fps, gyro-EIS, Dolby Vision HDR 10-bit rec. (4K, 1080p); <u>Camera trước</u> : 1080p@30.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Pin:</b> 4860mAh; Sạc nhanh 67W, Sạc nhanh không dây 50W, 100% trong 52 phút (được quảng cáo), Sạc không dây ngược 10W, Quick Charge 4, Power Delivery 3.0.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><b>Misc:</b> Đầu đọc dấu vân tay (dưới màn hình, quang học); NFC; Cổng hồng ngoại; loa âm thanh nổi.</span></li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,,"Điện thoại",,,"http://localhost/ekart/wp-content/uploads/2025/09/tjaa6v70_ka.jpg, http://localhost/ekart/wp-content/uploads/2025/09/xjuhafio3ng.jpg, http://localhost/ekart/wp-content/uploads/2025/09/tjaa6v70_ka.jpg",,,,,,,,,0,Xiaomi,Màu,"Đen, Xám",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,variable,,,"Galaxy Z Fold7",1,0,visible,"<p class=""sc-c0f8c612-0 dEurho""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Điện thoại AI, Camera 200MP, Màn hình 8.0"" tối ưu đa nhiệm, Mỏng nhẹ nhất - Hàng Chính Hãng</span></p>","Galaxy Z Fold7 - Thế hệ Galaxy Z Fold mỏng nhẹ, mạnh mẽ nhất từ trước đến nay
\n
\n<img src=""https://salt.tikicdn.com/ts/tmp/85/0e/a4/5bd3889c43baa14f3f0139f016042647.jpg"" alt="""" width=""750"" height=""419"" />
\n
\n<img title="""" src=""https://salt.tikicdn.com/ts/tmp/93/3a/81/331779321a9e4a12eaa216ad5043feea.png"" alt="""" width=""750"" height=""375"" />
\n
\n<img title="""" src=""https://salt.tikicdn.com/ts/tmp/6b/b8/d2/9c21777d5b8d24e4c2eb55d889639f46.png"" alt="""" width=""750"" height=""104"" />
\n
\n<img title="""" src=""https://salt.tikicdn.com/ts/tmp/93/c5/45/3e82199230b1f8c9880a66f257622e78.png"" alt="""" width=""750"" height=""459"" />
\n
\n<img title="""" src=""https://salt.tikicdn.com/ts/tmp/98/4e/67/d4e2d3b0b54167ac45316472b0d842a8.png"" alt="""" width=""750"" height=""322"" />
\n
\n<img title="""" src=""https://salt.tikicdn.com/ts/tmp/6c/e7/68/20cc8cade8e9ccbcc2186af5fd46b7b9.png"" alt="""" width=""750"" height=""310"" />",,,taxable,,1,,,0,0,,,,,1,,,,"Điện thoại",,,"http://localhost/ekart/wp-content/uploads/2025/09/5bd3889c43baa14f3f0139f016042647.jpg, http://localhost/ekart/wp-content/uploads/2025/09/5bd3889c43baa14f3f0139f016042647.jpg, http://localhost/ekart/wp-content/uploads/2025/09/331779321a9e4a12eaa216ad5043feea.png",,,,,,,,,0,Samsung,Màu,"Xanh Navy, Xám bạc",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,variable,P0001,,"Apple iPhone 16 Pro",1,0,visible,,"<img src=""https://salt.tikicdn.com/ts/tmp/0d/e9/f7/0e89dbf4ce169b0e75984ca7267e8208.png"" />",,,taxable,,1,99,95,1,0,,,,,1,,,,"Điện thoại",,,"http://localhost/ekart/wp-content/uploads/2025/09/ldwtfyhz85w.jpg, http://localhost/ekart/wp-content/uploads/2025/09/pozmybsdehm.jpg, http://localhost/ekart/wp-content/uploads/2025/09/ldwtfyhz85w.jpg",,,,,,,,,0,Apple,Màu,"Titan sa mạc, Titan đen",1,0,"Dung lượng","128GB, 256GB, 512GB",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,variable,M0001,,"MacBook Air M4 13Inch",1,0,visible,,"<div class=""ksp-content p-2 mb-2"">
\n<h3 data-start=""252"" data-end=""302""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""256"" data-end=""302"">MacBook Air 13 M4 - Tinh Tế &amp; Mạnh Mẽ</strong></span></h3>
\n<h4 data-start=""304"" data-end=""329""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""309"" data-end=""329"">Đặc điểm nổi bật</strong></span></h4>
\n<ul data-start=""331"" data-end=""874"">
\n 	<li data-start=""331"" data-end=""449"">
\n<p data-start=""333"" data-end=""449""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""333"" data-end=""359"">Thiết kế siêu mỏng nhẹ</strong></span><br data-start=""359"" data-end=""362"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Độ dày chỉ 1.13 cm và trọng lượng 1.24 kg, mang lại sự tiện lợi tối ưu khi di chuyển.</span></p>
\n</li>
\n 	<li data-start=""451"" data-end=""604"">
\n<p data-start=""453"" data-end=""604""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""453"" data-end=""478"">Chip Apple M4 mạnh mẽ</strong></span><br data-start=""478"" data-end=""481"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Được trang bị chip M4 thế hệ mới nhất với 10 nhân CPU và 8 nhân GPU, cho hiệu năng vượt trội và khả năng đồ họa ấn tượng.</span></p>
\n</li>
\n 	<li data-start=""606"" data-end=""727"">
\n<p data-start=""608"" data-end=""727""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""608"" data-end=""632"">RAM 16GB &amp; SSD 256GB</strong></span><br data-start=""632"" data-end=""635"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Tăng cường khả năng đa nhiệm, khởi động nhanh chóng và lưu trữ đủ cho công việc hàng ngày.</span></p>
\n</li>
\n 	<li data-start=""729"" data-end=""874"">
\n<p data-start=""731"" data-end=""874""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""731"" data-end=""767"">Màn hình Liquid Retina 13.6 inch</strong></span><br data-start=""767"" data-end=""770"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Độ phân giải 2560x1664 pixels với hình ảnh sắc nét, màu sắc chân thực và độ sáng cao lên đến 500 nits.</span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""876"" data-end=""879"" />
\n
\n<h3 data-start=""881"" data-end=""915""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""885"" data-end=""915"">Thông Số Cấu Hình Chi Tiết</strong></span></h3>
\n<h4 data-start=""917"" data-end=""943""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""922"" data-end=""943"">Hiệu Năng Mạnh Mẽ</strong></span></h4>
\n<ul data-start=""944"" data-end=""1136"">
\n 	<li data-start=""944"" data-end=""994"">
\n<p data-start=""946"" data-end=""994""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""946"" data-end=""963"">Chip Apple M4</strong> với 10 nhân CPU và 8 nhân GPU.</span></p>
\n</li>
\n 	<li data-start=""995"" data-end=""1071"">
\n<p data-start=""997"" data-end=""1071""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""997"" data-end=""1009"">RAM 16GB</strong> giúp mở nhiều ứng dụng cùng lúc và chuyển đổi tác vụ mượt mà.</span></p>
\n</li>
\n 	<li data-start=""1072"" data-end=""1136"">
\n<p data-start=""1074"" data-end=""1136""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1074"" data-end=""1087"">SSD 256GB</strong> giúp khởi động nhanh và lưu trữ đầy đủ tài liệu.</span></p>
\n</li>
\n</ul>
\n<h4 data-start=""1138"" data-end=""1163""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1143"" data-end=""1163"">Màn Hình Sắc Nét</strong></span></h4>
\n<ul data-start=""1164"" data-end=""1311"">
\n 	<li data-start=""1164"" data-end=""1228"">
\n<p data-start=""1166"" data-end=""1228""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1166"" data-end=""1193"">13.6 inch Liquid Retina</strong> với độ phân giải 2560x1664 pixels.</span></p>
\n</li>
\n 	<li data-start=""1229"" data-end=""1311"">
\n<p data-start=""1231"" data-end=""1311""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Độ sáng lên đến <strong data-start=""1247"" data-end=""1259"">500 nits</strong> cho khả năng hiển thị trong mọi điều kiện ánh sáng.</span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""1313"" data-end=""1316"" />
\n
\n<h3 data-start=""1318"" data-end=""1344""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1322"" data-end=""1344"">Trong Hộp Sản Phẩm</strong></span></h3>
\n<ul data-start=""1345"" data-end=""1528"">
\n 	<li data-start=""1345"" data-end=""1370"">
\n<p data-start=""1347"" data-end=""1370""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1347"" data-end=""1370"">MacBook Air 13 inch</strong></span></p>
\n</li>
\n 	<li data-start=""1371"" data-end=""1492"">
\n<p data-start=""1373"" data-end=""1492""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1373"" data-end=""1404"">Bộ Tiếp Hợp Nguồn USB-C 30W</strong> (M4 với GPU 8 lõi)</span><br data-start=""1423"" data-end=""1426"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Hoặc</span><br data-start=""1432"" data-end=""1435"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1437"" data-end=""1472"">Bộ Tiếp Hợp Nguồn USB-C Kép 35W</strong> (M4 với GPU 10 lõi)</span></p>
\n</li>
\n 	<li data-start=""1493"" data-end=""1528"">
\n<p data-start=""1495"" data-end=""1528""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1495"" data-end=""1528"">Cáp USB-C sang MagSafe 3 (2m)</strong></span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""1530"" data-end=""1533"" />
\n
\n<h3 data-start=""1535"" data-end=""1573""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1539"" data-end=""1573"">Tùy Chọn Cấu Hình Theo Yêu Cầu</strong></span></h3>
\n<div class=""_tableContainer_1rjym_1"">
\n<div class=""group _tableWrapper_1rjym_13 flex w-fit flex-col-reverse"" tabindex=""-1"">
\n<table class=""w-fit min-w-(--thread-content-width)"" data-start=""1575"" data-end=""2428"">
\n<thead data-start=""1575"" data-end=""1746"">
\n<tr data-start=""1575"" data-end=""1746"">
\n<th data-start=""1575"" data-end=""1619"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1577"" data-end=""1590"">Phiên bản</strong></span></th>
\n<th data-start=""1619"" data-end=""1642"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1621"" data-end=""1628"">Giá</strong></span></th>
\n<th data-start=""1642"" data-end=""1746"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1644"" data-end=""1656"">Cấu Hình</strong></span></th>
\n</tr>
\n</thead>
\n<tbody data-start=""1916"" data-end=""2428"">
\n<tr data-start=""1916"" data-end=""2086"">
\n<td data-start=""1916"" data-end=""1959"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1918"" data-end=""1936"">Từ 26.999.000đ</strong></span></td>
\n<td data-start=""1959"" data-end=""1983"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1961"" data-end=""1976"">10CPU, 8GPU</strong></span></td>
\n<td data-start=""1983"" data-end=""2086"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Bộ nhớ 24GB hoặc 32GB, SSD 512GB, 1TB, hoặc 2TB, Bộ Tiếp Hợp Nguồn USB-C 35W hoặc 70W</span></td>
\n</tr>
\n<tr data-start=""2087"" data-end=""2257"">
\n<td data-start=""2087"" data-end=""2130"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2089"" data-end=""2107"">Từ 31.999.000đ</strong></span></td>
\n<td data-start=""2130"" data-end=""2154"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2132"" data-end=""2148"">10CPU, 10GPU</strong></span></td>
\n<td data-start=""2154"" data-end=""2257"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Bộ nhớ 24GB hoặc 32GB, SSD 1TB hoặc 2TB, Bộ Tiếp Hợp Nguồn USB-C 70W</span></td>
\n</tr>
\n<tr data-start=""2258"" data-end=""2428"">
\n<td data-start=""2258"" data-end=""2301"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2260"" data-end=""2278"">Từ 36.999.000đ</strong></span></td>
\n<td data-start=""2301"" data-end=""2325"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2303"" data-end=""2319"">10CPU, 10GPU</strong></span></td>
\n<td data-start=""2325"" data-end=""2428"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Bộ nhớ 32GB, SSD 1TB hoặc 2TB, Bộ Tiếp Hợp Nguồn USB-C 70W</span></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n
\n<hr data-start=""2430"" data-end=""2433"" />
\n
\n<h3 data-start=""2435"" data-end=""2460""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2439"" data-end=""2460"">Tính Năng Nổi Bật</strong></span></h3>
\n<ul data-start=""2461"" data-end=""2792"">
\n 	<li data-start=""2461"" data-end=""2569"">
\n<p data-start=""2463"" data-end=""2569""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2463"" data-end=""2491"">Hiệu suất đồ họa mạnh mẽ</strong>: 8 nhân GPU cho khả năng chỉnh sửa ảnh, biên tập video và giải trí tuyệt vời.</span></p>
\n</li>
\n 	<li data-start=""2570"" data-end=""2686"">
